sample_id	diet	primers
BSF.B11	Brewery waste 	Fungi
BSF.B12	Brewery waste 	Fungi
BSF.B13	Brewery waste 	Fungi
BSF.B14	Brewery waste 	Fungi
BSF.B15	Brewery waste 	Fungi
BSF.B16	Brewery waste 	Fungi
BSF.B17	Brewery waste 	Fungi
BSF.B18	Brewery waste 	Fungi
BSF.B19	Brewery waste 	Fungi
BSF.B20	Brewery waste 	Fungi
BSF.K31	Kitchen waste 	Fungi
BSF.K32	Kitchen waste 	Fungi
BSF.K33	Kitchen waste 	Fungi
BSF.K34	Kitchen waste 	Fungi
BSF.K35	Kitchen waste 	Fungi
BSF.K36	Kitchen waste 	Fungi
BSF.R71	Rabbit waste 	Fungi
BSF.R72	Rabbit waste 	Fungi
BSF.R73	Rabbit waste 	Fungi
BSF.R74	Rabbit waste 	Fungi
BSF.R75	Rabbit waste 	Fungi
BSF.R76	Rabbit waste 	Fungi
BSF.R77	Rabbit waste 	Fungi
BSF.R78	Rabbit waste 	Fungi
BSF.R79	Rabbit waste 	Fungi
BSF.R80	Rabbit waste 	Fungi
